# Topic rates — Phase 9 verification
# Captured: 2026-05-07T10:58:28.613285
# Bridge commit: 6d3abf1
# Workload: bridge only
# Measurement: 4s warm-up + 10s count window per topic

Topic                                            Hz      Spec    Diff%  Flag
---------------------------------------------------------------------------
/bridge/status                                  1.0         1    -0.1%  ✅
/joint_states                                  82.6       100   -17.4%  ❌
/joint_torques                                 84.4       100   -15.6%  ❌
/ft_sensor                                     83.9       100   -16.1%  ❌
/proximity                                     43.6        50   -12.9%  ❌
/em_state                                       0.0    on-chg        —  —
/target_contact                                44.5        50   -11.1%  ❌
/camera/overhead/image_raw                      6.0         6    -0.1%  ✅
/camera/side/image_raw                          6.0         6    -0.1%  ✅
/camera/wrist/image_raw                         6.0         6    -0.1%  ✅
